,建物名,レンタルタイプ,住所,立地1,立地2,立地3,築年数,建物高さ,階,賃料,管理費,"敷/礼/保証/敷引,償却",間取り,専有面積
5207,ＪＲ山手線 目白駅 3階建 築46年,賃貸マンション,東京都新宿区下落合２,ＪＲ山手線/目白駅 歩5分,ＪＲ山手線/高田馬場駅 歩9分,東京メトロ副都心線/雑司が谷駅 歩14分,築46年,3階建,3階,10万円,3000円,10万円/10万円/-/-,1DK,32.39m
5208,コーポ中山,賃貸マンション,東京都新宿区下落合２,ＪＲ山手線/高田馬場駅 歩10分,ＪＲ山手線/目白駅 歩3分,東京メトロ東西線/高田馬場駅 歩10分,築46年,3階建,3階,9.6万円,3000円,9.6万円/9.6万円/-/-,1DK,32.29m
5209,コーポ中山,賃貸マンション,東京都新宿区下落合２,ＪＲ山手線/高田馬場駅 歩10分,ＪＲ山手線/目白駅 歩3分,東京メトロ東西線/高田馬場駅 歩10分,築46年,3階建,3階,10万円,3000円,10万円/10万円/-/-,1DK,32m
5210,東京メトロ東西線 早稲田駅 8階建 築20年,賃貸マンション,東京都新宿区西早稲田２,東京メトロ東西線/早稲田駅 歩8分,ＪＲ山手線/高田馬場駅 歩12分,東京メトロ副都心線/西早稲田駅 歩10分,築20年,8階建,6階,9.3万円,6000円,9.3万円/9.3万円/-/-,ワンルーム,29.61m
5211,モデュロール上落合,賃貸マンション,東京都新宿区上落合３,東京メトロ東西線/落合駅 歩1分,ＪＲ中央線/東中野駅 歩8分,西武新宿線/中井駅 歩6分,築12年,4階建,3階,9.5万円,4000円,9.5万円/9.5万円/-/-,1K,28.63m
5212,東京メトロ東西線 落合駅 4階建 築12年,賃貸マンション,東京都新宿区上落合３,東京メトロ東西線/落合駅 歩1分,都営大江戸線/中井駅 歩6分,ＪＲ総武線/東中野駅 歩10分,築12年,4階建,3階,9.5万円,4000円,9.5万円/9.5万円/-/-,1K,28.63m
5213,都営大江戸線 落合南長崎駅 9階建 新築,賃貸マンション,東京都新宿区西落合１,都営大江戸線/落合南長崎駅 歩1分,西武新宿線/下落合駅 歩15分,西武池袋線/椎名町駅 歩15分,新築,9階建,6階,9.1万円,8000円,9.1万円/9.1万円/-/-,1K,25.51m
5214,都営大江戸線 落合南長崎駅 9階建 新築,賃貸マンション,東京都新宿区西落合１,都営大江戸線/落合南長崎駅 歩1分,西武新宿線/下落合駅 歩15分,西武池袋線/椎名町駅 歩15分,新築,9階建,2階,8.8万円,12000円,-/-/-/-,ワンルーム,26.44m
5215,都営大江戸線 落合南長崎駅 9階建 新築,賃貸マンション,東京都新宿区西落合１,都営大江戸線/落合南長崎駅 歩1分,西武新宿線/下落合駅 歩15分,西武池袋線/椎名町駅 歩15分,新築,9階建,3階,8.85万円,12000円,-/-/-/-,1K,26.1m
5216,都営大江戸線 落合南長崎駅 9階建 新築,賃貸マンション,東京都新宿区西落合１,都営大江戸線/落合南長崎駅 歩1分,西武新宿線/下落合駅 歩15分,西武池袋線/椎名町駅 歩15分,新築,9階建,4階,8.9万円,12000円,-/-/-/-,1K,26.1m
