,建物名,レンタルタイプ,住所,立地1,立地2,立地3,築年数,建物高さ,階,賃料,管理費,"敷/礼/保証/敷引,償却",間取り,専有面積
2699,シリウスオクII,賃貸マンション,東京都荒川区西尾久６,都電荒川線/小台駅 歩3分,ＪＲ高崎線/尾久駅 歩12分,ＪＲ山手線/田端駅 歩20分,築20年,3階建,3階,10万円,3000円,10万円/10万円/-/-,2DK,42.7m
2700,（仮称）荒川区東日暮里６丁目計画,賃貸マンション,東京都荒川区東日暮里６,ＪＲ山手線/日暮里駅 歩6分,ＪＲ山手線/西日暮里駅 歩12分,ＪＲ常磐線/三河島駅 歩8分,新築,4階建,1階,9.5万円,8000円,19万円/19万円/-/-,1LDK,30.27m
2701,（仮称）荒川区東日暮里６丁目計画,賃貸マンション,東京都荒川区東日暮里６,ＪＲ山手線/日暮里駅 歩6分,ＪＲ山手線/西日暮里駅 歩12分,ＪＲ常磐線/三河島駅 歩8分,新築,4階建,2階,9.7万円,8000円,19.4万円/19.4万円/-/-,1LDK,30.27m
2702,（仮称）荒川区東日暮里６丁目計画,賃貸マンション,東京都荒川区東日暮里６,ＪＲ山手線/日暮里駅 歩6分,ＪＲ山手線/西日暮里駅 歩12分,ＪＲ常磐線/三河島駅 歩8分,新築,4階建,3階,9.8万円,8000円,19.6万円/19.6万円/-/-,1LDK,30.27m
2703,（仮称）荒川区東日暮里６丁目計画,賃貸マンション,東京都荒川区東日暮里６,ＪＲ山手線/日暮里駅 歩6分,ＪＲ山手線/西日暮里駅 歩12分,ＪＲ常磐線/三河島駅 歩8分,新築,4階建,1階,11.4万円,8000円,22.8万円/22.8万円/-/-,1LDK,41.84m
2704,（仮称）荒川区東日暮里６丁目計画,賃貸マンション,東京都荒川区東日暮里６,ＪＲ山手線/日暮里駅 歩6分,ＪＲ山手線/西日暮里駅 歩12分,ＪＲ常磐線/三河島駅 歩8分,新築,4階建,2階,11.6万円,8000円,23.2万円/23.2万円/-/-,1LDK,41.84m
2705,（仮称）荒川区東日暮里６丁目計画,賃貸マンション,東京都荒川区東日暮里６,ＪＲ山手線/日暮里駅 歩6分,ＪＲ山手線/西日暮里駅 歩12分,ＪＲ常磐線/三河島駅 歩8分,新築,4階建,3階,11.7万円,8000円,23.4万円/23.4万円/-/-,1LDK,41.84m
2706,（仮称）荒川区東日暮里６丁目計画,賃貸マンション,東京都荒川区東日暮里６,ＪＲ山手線/日暮里駅 歩6分,ＪＲ山手線/西日暮里駅 歩12分,ＪＲ常磐線/三河島駅 歩8分,新築,4階建,1階,11.7万円,8000円,23.4万円/23.4万円/-/-,1LDK,40.22m
2707,（仮称）荒川区東日暮里６丁目計画,賃貸マンション,東京都荒川区東日暮里６,ＪＲ山手線/日暮里駅 歩6分,ＪＲ山手線/西日暮里駅 歩12分,ＪＲ常磐線/三河島駅 歩8分,新築,4階建,4階,11.8万円,8000円,23.6万円/23.6万円/-/-,1LDK,41.84m
2708,（仮称）荒川区東日暮里６丁目計画,賃貸マンション,東京都荒川区東日暮里６,ＪＲ山手線/日暮里駅 歩6分,ＪＲ山手線/西日暮里駅 歩12分,ＪＲ常磐線/三河島駅 歩8分,新築,4階建,2階,11.8万円,8000円,23.6万円/23.6万円/-/-,1LDK,40.26m
