,建物名,レンタルタイプ,住所,立地1,立地2,立地3,築年数,建物高さ,階,賃料,管理費,"敷/礼/保証/敷引,償却",間取り,専有面積
2668,Ｓアルモニ,賃貸マンション,東京都豊島区南大塚２,東京メトロ丸ノ内線/新大塚駅 歩4分,ＪＲ山手線/大塚駅 歩9分,都電荒川線/大塚駅前駅 歩7分,築31年,5階建,2階,7.2万円,3000円,7.2万円/7.2万円/-/-,1K,21m
2669,Ｓアルモニ,賃貸マンション,東京都豊島区南大塚２,東京メトロ丸ノ内線/新大塚駅 歩4分,ＪＲ山手線/大塚駅 歩9分,都電荒川線/大塚駅前駅 歩7分,築31年,5階建,3階,10.1万円,3000円,10.1万円/10.1万円/-/-,2K,42m
2670,仙頭ハウス,賃貸アパート,東京都豊島区西池袋３,西武池袋線/椎名町駅 歩11分,ＪＲ山手線/池袋駅 歩12分,東京メトロ有楽町線/要町駅 歩12分,築45年,2階建,2階,7.5万円,-,7.5万円/-/-/-,2DK,41m
2671,西武池袋線 椎名町駅 2階建 築45年,賃貸アパート,東京都豊島区西池袋３,西武池袋線/椎名町駅 歩10分,東京メトロ有楽町線/要町駅 歩12分,西武新宿線/下落合駅 歩22分,築45年,2階建,2階,7.5万円,-,7.5万円/-/-/-,2DK,41m
2672,仙頭ハウス,賃貸アパート,東京都豊島区池袋３,ＪＲ山手線/池袋駅 歩10分,西武池袋線/椎名町駅 歩10分,東京メトロ有楽町線/要町駅 歩11分,築45年,2階建,1階,7.5万円,-,7.5万円/-/-/-,2DK,41m
2673,松野ビル,賃貸マンション,東京都豊島区巣鴨４,ＪＲ山手線/大塚駅 歩9分,ＪＲ山手線/巣鴨駅 歩14分,都営三田線/西巣鴨駅 歩7分,築45年,5階建,5階,7万円,5000円,7万円/7万円/-/-,2K,34.7m
2674,松野ビル,賃貸マンション,東京都豊島区巣鴨４,ＪＲ山手線/大塚駅 歩9分,ＪＲ山手線/巣鴨駅 歩14分,都営三田線/西巣鴨駅 歩7分,築45年,5階建,5階,8万円,5000円,8万円/8万円/-/-,2LDK,40m
2675,ＪＲ山手線 大塚駅 5階建 築44年,賃貸マンション,東京都豊島区巣鴨４,ＪＲ山手線/大塚駅 歩9分,都営三田線/西巣鴨駅 歩7分,ＪＲ埼京線/板橋駅 歩15分,築44年,5階建,5階,7万円,5000円,7万円/7万円/-/-,2K,34.7m
2676,ＪＲ山手線 大塚駅 5階建 築44年,賃貸マンション,東京都豊島区巣鴨４,ＪＲ山手線/大塚駅 歩9分,都営三田線/西巣鴨駅 歩7分,ＪＲ埼京線/板橋駅 歩15分,築44年,5階建,5階,8万円,5000円,8万円/8万円/-/-,2LDK,40m
2677,長崎ハイム5号棟,賃貸アパート,東京都豊島区長崎３,西武池袋線/東長崎駅 歩7分,東京メトロ有楽町線/要町駅 歩13分,None,築30年,2階建,1階,7.5万円,-,7.5万円/7.5万円/-/-,2DK,40m
