,建物名,レンタルタイプ,住所,立地1,立地2,立地3,築年数,建物高さ,階,賃料,管理費,"敷/礼/保証/敷引,償却",間取り,専有面積
11489,小豆沢ハイツ,賃貸マンション,東京都板橋区小豆沢１,都営三田線/本蓮沼駅 歩9分,都営三田線/志村坂上駅 歩9分,ＪＲ埼京線/赤羽駅 歩25分,築34年,6階建,3階,9.6万円,-,9.6万円/-/-/-,2DK,50.6m
11490,ルミエール西高島平,賃貸マンション,東京都板橋区三園１,都営三田線/西高島平駅 歩6分,東武東上線/成増駅 バス6分 (バス停)北山下橋 歩8分,None,築31年,4階建,2階,9.4万円,-,-/-/-/-,3DK,50.38m
11491,東武東上線 ときわ台駅 2階建 築30年,賃貸アパート,東京都板橋区東新町２,東武東上線/ときわ台駅 歩16分,東武東上線/中板橋駅 歩21分,東京メトロ有楽町線/小竹向原駅 歩17分,築30年,2階建,1-2階,9.4万円,-,9.4万円/9.4万円/-/-,3K,49.57m
11492,都営三田線 西台駅 5階建 築37年,賃貸マンション,東京都板橋区高島平１,都営三田線/西台駅 歩5分,都営三田線/蓮根駅 歩10分,都営三田線/高島平駅 歩18分,築37年,5階建,2階,9万円,4000円,9万円/9万円/-/-,3DK,48.26m
11493,東京メトロ有楽町線 地下鉄赤塚駅 5階建 築39年,賃貸マンション,東京都板橋区赤塚１,東京メトロ有楽町線/地下鉄赤塚駅 歩3分,東武東上線/下赤塚駅 歩2分,東京メトロ有楽町線/地下鉄成増駅 歩23分,築39年,5階建,4階,9万円,4000円,18万円/-/-/-,3K,47.7m
11494,パールモア新井堂,賃貸マンション,東京都板橋区東山町,東武東上線/ときわ台駅 歩7分,西武有楽町線/小竹向原駅 歩25分,東武東上線/中板橋駅 歩9分,築28年,11階建,9階,8.9万円,5000円,8.9万円/-/-/-,2DK,45.2m
11495,パールモア新井堂,賃貸マンション,東京都板橋区東山町,東武東上線/ときわ台駅 歩7分,西武有楽町線/小竹向原駅 歩25分,東武東上線/中板橋駅 歩9分,築28年,11階建,2階,9.3万円,5000円,9.3万円/-/-/-,2DK,45.12m
11496,パールモア新井堂,賃貸マンション,東京都板橋区東山町,東武東上線/ときわ台駅 歩7分,西武有楽町線/小竹向原駅 歩25分,東武東上線/中板橋駅 歩9分,築28年,11階建,7階,9.4万円,5000円,9.4万円/-/-/-,2DK,47.57m
11497,パールモア新井堂,賃貸マンション,東京都板橋区東山町,東武東上線/ときわ台駅 歩7分,西武有楽町線/小竹向原駅 歩25分,東武東上線/中板橋駅 歩9分,築28年,11階建,7階,9.5万円,5000円,9.5万円/-/-/-,2DK,47.57m
11498,パールモア新井堂,賃貸マンション,東京都板橋区東山町,東武東上線/ときわ台駅 歩7分,西武有楽町線/小竹向原駅 歩25分,東武東上線/中板橋駅 歩9分,築28年,11階建,2階,9.5万円,5000円,9.5万円/-/-/-,2DK,45.12m
11499,パールモア新井堂,賃貸マンション,東京都板橋区東山町,東武東上線/ときわ台駅 歩7分,西武有楽町線/小竹向原駅 歩25分,東武東上線/中板橋駅 歩9分,築28年,11階建,2階,10.26万円,5000円,9.5万円/-/-/-,2DK,45.12m
11500,エスポワール相生,賃貸マンション,東京都板橋区相生町,都営三田線/志村三丁目駅 歩7分,都営三田線/蓮根駅 歩13分,東武東上線/上板橋駅 歩22分,築26年,3階建,2階,9.1万円,3000円,9.1万円/9.1万円/-/-,2DK,43.74m
11501,東京メトロ副都心線 小竹向原駅 6階建 築39年,賃貸マンション,東京都板橋区小茂根２,東京メトロ副都心線/小竹向原駅 歩7分,西武池袋線/江古田駅 歩20分,西武有楽町線/新桜台駅 歩15分,築39年,6階建,2階,9万円,4000円,9万円/-/-/-,2K,43.34m
11502,都営三田線 志村坂上駅 6階建 築22年,賃貸マンション,東京都板橋区東坂下２,都営三田線/志村坂上駅 歩12分,ＪＲ埼京線/浮間舟渡駅 歩15分,都営三田線/志村三丁目駅 歩12分,築22年,6階建,5階,8.9万円,5000円,8.9万円/-/-/-,2DK,42.43m
11503,エスポワール志村坂上,賃貸マンション,東京都板橋区前野町４,都営三田線/志村坂上駅 歩6分,東武東上線/ときわ台駅 歩22分,都営三田線/本蓮沼駅 歩11分,築30年,5階建,2階,8.9万円,5000円,8.9万円/-/-/-,2DK,42.25m
11504,エスポワール志村坂上,賃貸マンション,東京都板橋区前野町４,都営三田線/志村坂上駅 歩6分,東武東上線/ときわ台駅 歩22分,都営三田線/本蓮沼駅 歩11分,築30年,5階建,3階,8.9万円,5000円,8.9万円/-/-/-,2DK,42.25m
11505,都営三田線 志村坂上駅 5階建 築30年,賃貸マンション,東京都板橋区前野町４,都営三田線/志村坂上駅 歩6分,東武東上線/ときわ台駅 歩21分,都営三田線/本蓮沼駅 歩12分,築30年,5階建,2階,8.9万円,5000円,8.9万円/-/-/-,2DK,42.25m
