,建物名,レンタルタイプ,住所,立地1,立地2,立地3,築年数,建物高さ,階,賃料,管理費,"敷/礼/保証/敷引,償却",間取り,専有面積
513,プラティーク両国,賃貸マンション,東京都墨田区両国４,ＪＲ総武線/両国駅 歩5分,都営新宿線/森下駅 歩8分,東京メトロ半蔵門線/清澄白河駅 歩16分,築30年,6階建,3階,6.3万円,4000円,6.3万円/6.3万円/-/-,ワンルーム,18.11m
514,京成押上線 八広駅 2階建 築2年,賃貸アパート,東京都墨田区八広６,京成押上線/八広駅 歩3分,京成押上線/四ツ木駅 歩15分,東武伊勢崎線/東向島駅 歩15分,築2年,2階建,2階,5.9万円,5000円,-/-/-/-,ワンルーム,16.56m
515,ダイヤモンドレジデンス錦糸町,賃貸マンション,東京都墨田区太平２,ＪＲ総武線/錦糸町駅 歩5分,東京メトロ半蔵門線/錦糸町駅 歩5分,東京メトロ半蔵門線/押上駅 歩11分,築30年,10階建,8階,6万円,4000円,-/-/-/-,1K,16.39m
516,GRACE亀戸,賃貸アパート,東京都墨田区立花１,ＪＲ総武線/亀戸駅 歩13分,東武亀戸線/東あずま駅 歩7分,ＪＲ総武線/亀戸駅 バス2分 (バス停)福神橋 歩3分,新築,3階建,1階,6.1万円,3000円,6.1万円/-/-/-,ワンルーム,16.38m
517,GRACE亀戸,賃貸アパート,東京都墨田区立花１,ＪＲ総武線/亀戸駅 歩13分,東武亀戸線/東あずま駅 歩7分,ＪＲ総武線/亀戸駅 バス2分 (バス停)福神橋 歩3分,新築,3階建,1階,6.1万円,3000円,6.1万円/-/-/-,ワンルーム,16.2m
518,GRACE亀戸,賃貸アパート,東京都墨田区立花１,ＪＲ総武線/亀戸駅 歩13分,東武亀戸線/東あずま駅 歩7分,ＪＲ総武線/亀戸駅 バス2分 (バス停)福神橋 歩3分,新築,3階建,2階,6.3万円,3000円,6.3万円/-/-/-,ワンルーム,16.2m
519,GRACE亀戸,賃貸アパート,東京都墨田区立花１,ＪＲ総武線/亀戸駅 歩13分,東武亀戸線/東あずま駅 歩7分,ＪＲ総武線/亀戸駅 バス2分 (バス停)福神橋 歩3分,新築,3階建,2階,6.4万円,3000円,6.4万円/-/-/-,ワンルーム,16.38m
520,GRACE亀戸,賃貸アパート,東京都墨田区立花１,ＪＲ総武線/亀戸駅 歩13分,東武亀戸線/東あずま駅 歩7分,ＪＲ総武線/亀戸駅 バス2分 (バス停)福神橋 歩3分,新築,3階建,3階,6.4万円,3000円,6.4万円/-/-/-,ワンルーム,16.2m
521,GRACE亀戸,賃貸アパート,東京都墨田区立花１,ＪＲ総武線/亀戸駅 歩13分,東武亀戸線/東あずま駅 歩7分,ＪＲ総武線/亀戸駅 バス2分 (バス停)福神橋 歩3分,新築,3階建,3階,6.5万円,3000円,6.5万円/-/-/-,ワンルーム,16.38m
522,東京メトロ半蔵門線 錦糸町駅 2階建 築13年,賃貸アパート,東京都墨田区横川２,東京メトロ半蔵門線/錦糸町駅 歩9分,東京メトロ半蔵門線/押上駅 歩10分,都営浅草線/本所吾妻橋駅 歩15分,築13年,2階建,2階,6.4万円,-,6.4万円/6.4万円/-/-,ワンルーム,16m
