,建物名,レンタルタイプ,住所,立地1,立地2,立地3,築年数,建物高さ,階,賃料,管理費,"敷/礼/保証/敷引,償却",間取り,専有面積
1964,都営新宿線 西大島駅 8階建 築20年,賃貸マンション,東京都江東区大島１,都営新宿線/西大島駅 歩1分,ＪＲ総武線/亀戸駅 歩13分,都営新宿線/住吉駅 歩12分,築20年,8階建,5階,7.3万円,5000円,7.3万円/7.3万円/-/-,ワンルーム,22.9m
1965,ル・リオンFreyer南砂west,賃貸マンション,東京都江東区東砂６,東京メトロ東西線/南砂町駅 歩16分,東京メトロ東西線/西葛西駅 歩28分,都営新宿線/東大島駅 歩29分,築10年,8階建,2階,7.2万円,6000円,3万円/3万円/-/-,1K,22.35m
1966,ル・リオンFreyer南砂west,賃貸マンション,東京都江東区東砂６,東京メトロ東西線/南砂町駅 歩16分,東京メトロ東西線/西葛西駅 歩28分,都営新宿線/東大島駅 歩29分,築10年,8階建,8階,7.5万円,8000円,-/7.5万円/-/-,1K,22.81m
1967,ル・リオンFreyer南砂west,賃貸マンション,東京都江東区東砂６,東京メトロ東西線/南砂町駅 歩16分,東京メトロ東西線/西葛西駅 歩28分,都営新宿線/東大島駅 歩29分,築10年,8階建,8階,7.9万円,8000円,-/7.9万円/-/-,1K,22.81m
1968,ル・リオンフレイエ南砂ウエスト,賃貸マンション,東京都江東区東砂６,東京メトロ東西線/南砂町駅 歩11分,None,None,築10年,8階建,2階,7.2万円,6000円,3万円/3万円/-/-,1K,22.35m
1969,ル・リオンフレイエ南砂ウエスト,賃貸マンション,東京都江東区東砂６,東京メトロ東西線/南砂町駅 歩11分,None,None,築10年,8階建,8階,7.5万円,8000円,-/7.5万円/-/-,1K,22.35m
1970,ル・リオンフレイエ南砂ウエスト,賃貸マンション,東京都江東区東砂６,東京メトロ東西線/南砂町駅 歩11分,None,None,築10年,8階建,8階,7.9万円,8000円,-/7.9万円/-/-,1K,22.81m
1971,ル・リオンフレイエ南砂イースト,賃貸マンション,東京都江東区東砂６,東京メトロ東西線/南砂町駅 歩12分,東京メトロ東西線/西葛西駅 歩22分,都営新宿線/大島駅 歩26分,築10年,8階建,3階,7万円,8000円,-/7万円/-/-,1K,22.5m
1972,東京メトロ東西線 南砂町駅 12階建 築10年,賃貸マンション,東京都江東区東砂６,東京メトロ東西線/南砂町駅 歩12分,東京メトロ東西線/西葛西駅 歩29分,None,築10年,12階建,3階,7万円,8000円,-/7万円/7万円/-,1K,22.5m
1973,東京メトロ東西線 南砂町駅 8階建 築10年,賃貸マンション,東京都江東区東砂６,東京メトロ東西線/南砂町駅 歩16分,東京メトロ東西線/西葛西駅 歩27分,都営新宿線/東大島駅 歩29分,築10年,8階建,2階,7.2万円,6000円,3万円/3万円/-/-,1K,22.35m
