,建物名,レンタルタイプ,住所,立地1,立地2,立地3,築年数,建物高さ,階,賃料,管理費,"敷/礼/保証/敷引,償却",間取り,専有面積
13351,東京サーハウスリバーポート,賃貸マンション,東京都大田区下丸子２,東急多摩川線/下丸子駅 歩11分,None,None,築15年,地下1地上15階建,7階,22.5万円,-,45万円/22.5万円/-/-,3SLDK,84.27m
13352,ハイツドリコノ,賃貸マンション,東京都大田区田園調布２,東急東横線/多摩川駅 歩6分,東急東横線/田園調布駅 歩12分,東急池上線/雪が谷大塚駅 歩18分,築35年,3階建,1階,22万円,5000円,44万円/22万円/-/-,3SLDK,72.85m
13353,東急池上線 石川台駅 3階建 築23年,賃貸マンション,東京都大田区東雪谷３,東急池上線/石川台駅 歩7分,東急池上線/洗足池駅 歩10分,東急池上線/雪が谷大塚駅 歩14分,築23年,3階建,2階,22.7万円,-,45.4万円/-/-/-,3LDK,88.26m
13354,大田区北馬込２丁目戸建,賃貸一戸建て,東京都大田区北馬込２,都営浅草線/馬込駅 歩3分,東急大井町線/荏原町駅 歩7分,東急池上線/旗の台駅 歩15分,築31年,2階建,1-2階,23万円,-,46万円/-/-/-,4SLDK,165.19m
13355,大田区北馬込２丁目戸建,賃貸一戸建て,東京都大田区北馬込２,都営浅草線/馬込駅 歩3分,東急大井町線/荏原町駅 歩7分,東急池上線/旗の台駅 歩15分,築31年,2階建,1-2階,23万円,-,46万円/-/-/-,5SLDK,165.19m
13356,都営浅草線 馬込駅 2階建 築31年,賃貸一戸建て,東京都大田区北馬込２,都営浅草線/馬込駅 歩3分,東急大井町線/荏原町駅 歩7分,東急大井町線/中延駅 歩9分,築31年,2階建,-,23万円,-,46万円/-/-/-,4SLDK,165.19m
13357,司馬邸,賃貸一戸建て,東京都大田区蒲田１,ＪＲ京浜東北線/蒲田駅 歩10分,京急本線/梅屋敷駅 歩9分,京急本線/京急蒲田駅 歩10分,築28年,3階建,1階,23万円,-,46万円/23万円/-/-,3SLDK,115.31m
13358,プロムスタイル南馬込,賃貸一戸建て,東京都大田区南馬込６,都営浅草線/西馬込駅 歩10分,都営浅草線/馬込駅 歩20分,ＪＲ京浜東北線/大森駅 歩22分,築3年,3階建,1階,23万円,-,-/23万円/-/-,4LDK,112.19m
13359,仲六郷３丁目戸建,賃貸一戸建て,東京都大田区仲六郷３,京急本線/雑色駅 歩6分,京急本線/六郷土手駅 歩15分,東急池上線/蒲田駅 歩20分,築19年,2階建,-,23万円,-,46万円/23万円/-/-,3SLDK,110.19m
13360,京急本線 雑色駅 2階建 築19年,賃貸一戸建て,東京都大田区仲六郷３,京急本線/雑色駅 歩6分,京急本線/六郷土手駅 歩15分,ＪＲ京浜東北線/蒲田駅 歩22分,築19年,2階建,1-2階,23万円,-,46万円/23万円/-/-,3SLDK,110.19m
13361,南久が原２丁目戸建,賃貸一戸建て,東京都大田区南久が原２,東急多摩川線/下丸子駅 歩5分,東急池上線/久が原駅 歩8分,東急池上線/千鳥町駅 歩8分,築32年,2階建,1-2階,23万円,-,46万円/23万円/-/-,5LDK,108.77m
13362,フェアロージュ南雪谷アークスコート,賃貸マンション,東京都大田区南雪谷１,東急池上線/雪が谷大塚駅 歩7分,東急池上線/石川台駅 歩6分,東急大井町線/緑が丘駅 歩22分,築18年,7階建,1階,22万円,10000円,22万円/22万円/-/-,3LDK,86.71m
13363,ディアステート南馬込,賃貸マンション,東京都大田区南馬込５,都営浅草線/西馬込駅 歩1分,都営浅草線/馬込駅 歩17分,None,築27年,9階建,8階,23万円,-,46万円/-/-/-,3LDK,81.9m
13364,山王１丁目戸建,賃貸一戸建て,東京都大田区山王１,ＪＲ京浜東北線/大森駅 歩7分,ＪＲ横須賀線/西大井駅 歩17分,京急本線/大森海岸駅 歩19分,築12年,2階建,-,23万円,-,46万円/23万円/-/-,3LDK,81.55m
13365,馬込グリーンコート,賃貸マンション,東京都大田区北馬込１,東急大井町線/荏原町駅 歩8分,東急池上線/旗の台駅 歩11分,都営浅草線/馬込駅 歩11分,築27年,4階建,3階,23万円,-,46万円/23万円/-/-,2LDK,80m
