,建物名,レンタルタイプ,住所,立地1,立地2,立地3,築年数,建物高さ,階,賃料,管理費,"敷/礼/保証/敷引,償却",間取り,専有面積
6393,東急目黒線 武蔵小山駅 9階建 築9年,賃貸マンション,東京都品川区小山４,東急目黒線/武蔵小山駅 歩3分,東急目黒線/西小山駅 歩9分,東急池上線/戸越銀座駅 歩17分,築9年,9階建,4階,10.3万円,7000円,5.15万円/10.3万円/-/-,1K,26.34m
6394,東急目黒線 武蔵小山駅 9階建 築9年,賃貸マンション,東京都品川区小山４,東急目黒線/武蔵小山駅 歩3分,東急目黒線/西小山駅 歩9分,東急池上線/戸越銀座駅 歩17分,築9年,9階建,4階,10.3万円,7000円,5.15万円/10.3万円/-/-,1K,26.34m
6395,レ・スリジェ旗の台,賃貸アパート,東京都品川区旗の台１,東急大井町線/旗の台駅 歩6分,東急池上線/旗の台駅 歩6分,東急池上線/荏原中延駅 歩9分,築6年,2階建,1階,10.9万円,2000円,10.9万円/10.9万円/-/-,ワンルーム,33m
6396,東急大井町線 旗の台駅 2階建 築6年,賃貸アパート,東京都品川区旗の台１,東急大井町線/旗の台駅 歩6分,東急池上線/荏原中延駅 歩9分,東急目黒線/西小山駅 歩10分,築6年,2階建,1階,10.9万円,2000円,10.9万円/10.9万円/-/-,ワンルーム,33m
6397,ＪＲ山手線 品川駅 7階建 築34年,賃貸マンション,東京都品川区東品川１,ＪＲ山手線/品川駅 歩17分,京急本線/新馬場駅 歩8分,りんかい線/天王洲アイル駅 歩8分,築34年,7階建,5階,10.8万円,3000円,10.8万円/10.8万円/-/10.8万円,2DK,38.8m
6398,東急大井町線 旗の台駅 3階建 築34年,賃貸マンション,東京都品川区旗の台２,東急大井町線/旗の台駅 歩3分,東急大井町線/荏原町駅 歩6分,東急池上線/荏原中延駅 歩12分,築34年,3階建,2階,10.8万円,3000円,10.8万円/10.8万円/-/-,2DK,37m
6399,シュエット武蔵小山,賃貸アパート,東京都品川区荏原５,東急目黒線/武蔵小山駅 歩10分,東急目黒線/西小山駅 歩9分,東急池上線/戸越銀座駅 歩12分,築4年,3階建,1階,10.9万円,2000円,10.9万円/10.9万円/-/-,1LDK,36.23m
6400,シュエット武蔵小山,賃貸アパート,東京都品川区荏原５,東急目黒線/武蔵小山駅 歩10分,東急目黒線/西小山駅 歩9分,東急池上線/戸越銀座駅 歩12分,築4年,3階建,1階,10.9万円,2000円,10.9万円/10.9万円/-/-,1LDK,36.23m
6401,東急目黒線 武蔵小山駅 3階建 築4年,賃貸アパート,東京都品川区荏原５,東急目黒線/武蔵小山駅 歩10分,東急目黒線/西小山駅 歩9分,東急池上線/戸越銀座駅 歩13分,築4年,3階建,1階,10.9万円,2000円,10.9万円/10.9万円/-/-,1LDK,36.23m
6402,サンライズ吉田,賃貸マンション,東京都品川区旗の台２,東急大井町線/旗の台駅 歩3分,東急大井町線/荏原町駅 歩7分,都営浅草線/中延駅 歩11分,築34年,3階建,2階,10.8万円,3000円,10.8万円/10.8万円/-/-,2DK,35m
6403,ラクレイス南品川,賃貸マンション,東京都品川区南品川２,ＪＲ京浜東北線/大井町駅 歩15分,京急本線/青物横丁駅 歩5分,りんかい線/品川シーサイド駅 歩11分,築48年,5階建,4階,10.6万円,5000円,15.9万円/-/-/10.6万円,ワンルーム,34.03m
6404,ラクレイス南品川,賃貸マンション,東京都品川区南品川２,ＪＲ京浜東北線/大井町駅 歩15分,京急本線/青物横丁駅 歩5分,りんかい線/品川シーサイド駅 歩11分,築48年,5階建,4階,10.6万円,5000円,15.9万円/-/-/-,ワンルーム,34.03m
6405,京急本線 青物横丁駅 5階建 築48年,賃貸マンション,東京都品川区南品川２,京急本線/青物横丁駅 歩5分,りんかい線/品川シーサイド駅 歩11分,ＪＲ京浜東北線/大井町駅 歩16分,築48年,5階建,4階,10.6万円,5000円,15.9万円/-/-/10.6万円,ワンルーム,34.03m
6406,ヒルレジデンス大崎,賃貸マンション,東京都品川区西品川２,ＪＲ山手線/大崎駅 歩11分,ＪＲ京浜東北線/大井町駅 歩14分,東急大井町線/下神明駅 歩5分,築14年,7階建,2階,10.5万円,6000円,10.5万円/10.5万円/-/-,1K,28m
6407,ヒルレジデンス大崎,賃貸マンション,東京都品川区西品川２,ＪＲ山手線/大崎駅 歩11分,ＪＲ京浜東北線/大井町駅 歩14分,東急大井町線/下神明駅 歩5分,築14年,7階建,4階,10.9万円,6000円,10.9万円/10.9万円/-/-,1K,28m
6408,ＪＲ山手線 大崎駅 7階建 築14年,賃貸マンション,東京都品川区西品川２,ＪＲ山手線/大崎駅 歩11分,ＪＲ京浜東北線/大井町駅 歩14分,東急大井町線/下神明駅 歩5分,築14年,7階建,2階,10.5万円,6000円,10.5万円/10.5万円/-/-,1K,28m
6409,ＪＲ山手線 大崎駅 7階建 築14年,賃貸マンション,東京都品川区西品川２,ＪＲ山手線/大崎駅 歩11分,ＪＲ京浜東北線/大井町駅 歩14分,東急大井町線/下神明駅 歩5分,築14年,7階建,2階,11.1万円,6000円,11.1万円/11.1万円/-/-,1K,28m
6410,東急池上線 旗の台駅 4階建 築9年,賃貸アパート,東京都品川区西中延２,東急池上線/旗の台駅 歩7分,東急大井町線/荏原町駅 歩9分,東急池上線/荏原中延駅 歩9分,築9年,4階建,2階,10.5万円,6000円,10.5万円/10.5万円/-/-,ワンルーム,27.16m
6411,Ｔ＆Ｙ　ＹＡＳＵＤＡ,賃貸アパート,東京都品川区西中延２,東急大井町線/旗の台駅 歩5分,東急池上線/旗の台駅 歩5分,東急大井町線/荏原町駅 歩8分,築9年,4階建,2階,10.5万円,6000円,10.5万円/10.5万円/-/-,ワンルーム,27.16m
6412,プライマル大井仙台坂,賃貸マンション,東京都品川区東大井４,ＪＲ京浜東北線/大井町駅 歩7分,京急本線/青物横丁駅 歩6分,京急本線/鮫洲駅 歩5分,築4年,10階建,2階,10.2万円,9000円,10.2万円/-/-/-,ワンルーム,27.1m
6413,プライマル大井仙台坂,賃貸マンション,東京都品川区東大井４,ＪＲ京浜東北線/大井町駅 歩7分,京急本線/青物横丁駅 歩6分,京急本線/鮫洲駅 歩5分,築4年,10階建,2階,10.5万円,9000円,10.5万円/-/-/-,ワンルーム,27.1m
6414,プライマル大井仙台坂,賃貸マンション,東京都品川区東大井４,ＪＲ京浜東北線/大井町駅 歩7分,京急本線/青物横丁駅 歩6分,京急本線/鮫洲駅 歩5分,築4年,10階建,7階,10.5万円,9000円,10.5万円/-/-/-,1K,25.24m
6415,コージーコート島津山,賃貸マンション,東京都品川区東五反田３,ＪＲ山手線/五反田駅 歩7分,ＪＲ山手線/大崎駅 歩10分,都営浅草線/五反田駅 歩7分,新築,11階建,9階,10.1万円,10000円,10.1万円/-/-/-,1K,20.09m
6416,コージーコート島津山,賃貸マンション,東京都品川区東五反田３,ＪＲ山手線/五反田駅 歩7分,ＪＲ山手線/大崎駅 歩10分,都営浅草線/五反田駅 歩7分,新築,11階建,10階,10.2万円,10000円,10.2万円/-/-/-,1K,20.09m
6417,ＪＲ山手線 大崎駅 11階建 新築,賃貸マンション,東京都品川区東五反田３,ＪＲ山手線/大崎駅 歩10分,東急池上線/五反田駅 歩8分,都営浅草線/高輪台駅 歩11分,新築,11階建,9階,10.1万円,10000円,10.1万円/-/-/-,1K,20.09m
6418,ＪＲ山手線 大崎駅 11階建 新築,賃貸マンション,東京都品川区東五反田３,ＪＲ山手線/大崎駅 歩10分,東急池上線/五反田駅 歩8分,都営浅草線/高輪台駅 歩11分,新築,11階建,10階,10.2万円,10000円,10.2万円/-/-/-,1K,20.09m
6419,クレグラン東品川,賃貸マンション,東京都品川区東品川１,ＪＲ山手線/品川駅 歩13分,京急本線/北品川駅 歩7分,東京モノレール/天王洲アイル駅 歩13分,築27年,6階建,2階,10.1万円,10500円,-/10.1万円/-/-,1DK,31.5m
6420,リュクス高輪台,賃貸マンション,東京都品川区東五反田１,都営浅草線/高輪台駅 歩5分,ＪＲ山手線/五反田駅 歩7分,東急池上線/大崎広小路駅 歩16分,築8年,地下5地上10階建,3階,10.3万円,8500円,-/10.3万円/-/-,1K,26.27m
6421,リュクス高輪台,賃貸マンション,東京都品川区東五反田１,都営浅草線/高輪台駅 歩5分,ＪＲ山手線/五反田駅 歩7分,東急池上線/大崎広小路駅 歩16分,築8年,地下5地上10階建,3階,10.6万円,8500円,-/10.6万円/-/-,1K,26.27m
6422,セジョリ大崎,賃貸マンション,東京都品川区大崎２,ＪＲ山手線/大崎駅 歩4分,ＪＲ山手線/五反田駅 歩5分,東急池上線/大崎広小路駅 歩4分,築9年,9階建,8階,10.1万円,10500円,-/10.1万円/-/-,1K,21.28m
