,建物名,レンタルタイプ,住所,立地1,立地2,立地3,築年数,建物高さ,階,賃料,管理費,"敷/礼/保証/敷引,償却",間取り,専有面積
88,メゾンドペーシェ,賃貸マンション,東京都目黒区柿の木坂２,東急東横線/学芸大学駅 歩10分,東急東横線/都立大学駅 歩15分,東急田園都市線/駒沢大学駅 歩21分,築35年,5階建,1階,4.8万円,3900円,-/-/-/-,ワンルーム,14.04m
89,メゾンドペーシェ,賃貸マンション,東京都目黒区柿の木坂２,東急東横線/学芸大学駅 歩10分,東急東横線/都立大学駅 歩15分,東急田園都市線/駒沢大学駅 歩21分,築35年,5階建,4階,4.8万円,3900円,4.8万円/-/-/-,ワンルーム,13.07m
90,メゾンドペーシェ,賃貸マンション,東京都目黒区柿の木坂２,東急東横線/学芸大学駅 歩10分,東急東横線/都立大学駅 歩15分,東急田園都市線/駒沢大学駅 歩21分,築35年,5階建,1階,5万円,3900円,5万円/-/-/-,ワンルーム,14.04m
91,メゾンドペーシェ,賃貸マンション,東京都目黒区柿の木坂２,東急東横線/学芸大学駅 歩10分,東急東横線/都立大学駅 歩15分,東急田園都市線/駒沢大学駅 歩21分,築35年,5階建,4階,5.2万円,3900円,5.2万円/-/-/-,ワンルーム,14.04m
92,メゾンドペーシェ,賃貸マンション,東京都目黒区柿の木坂２,東急東横線/学芸大学駅 歩10分,東急東横線/都立大学駅 歩15分,東急田園都市線/駒沢大学駅 歩21分,築35年,5階建,4階,5.2万円,3900円,5.2万円/-/-/-,ワンルーム,13.07m
93,メゾンドペーシェ,賃貸マンション,東京都目黒区柿の木坂２,東急東横線/学芸大学駅 歩10分,東急東横線/都立大学駅 歩15分,東急田園都市線/駒沢大学駅 歩21分,築35年,5階建,3階,5.2万円,6000円,-/-/-/-,ワンルーム,13.07m
94,東急東横線 学芸大学駅 5階建 築35年,賃貸マンション,東京都目黒区柿の木坂２,東急東横線/学芸大学駅 歩10分,東急東横線/都立大学駅 歩16分,東急東横線/祐天寺駅 バス7分 (バス停)碑文谷呑川 歩3分,築35年,5階建,1階,4.8万円,3900円,4.8万円/-/-/-,ワンルーム,14.04m
95,東急東横線 学芸大学駅 5階建 築35年,賃貸マンション,東京都目黒区柿の木坂２,東急東横線/学芸大学駅 歩10分,東急東横線/都立大学駅 歩16分,東急東横線/祐天寺駅 バス7分 (バス停)碑文谷呑川 歩3分,築35年,5階建,4階,4.8万円,3900円,-/-/-/-,ワンルーム,13.07m
96,東急東横線 学芸大学駅 5階建 築35年,賃貸マンション,東京都目黒区柿の木坂２,東急東横線/学芸大学駅 歩10分,東急東横線/都立大学駅 歩16分,東急東横線/祐天寺駅 バス7分 (バス停)碑文谷呑川 歩3分,築35年,5階建,1階,5万円,3900円,5万円/-/-/-,ワンルーム,14.04m
97,東急東横線 学芸大学駅 5階建 築35年,賃貸マンション,東京都目黒区柿の木坂２,東急東横線/学芸大学駅 歩10分,東急東横線/都立大学駅 歩16分,東急東横線/祐天寺駅 バス7分 (バス停)碑文谷呑川 歩3分,築35年,5階建,4階,5.2万円,3900円,5.2万円/-/-/-,ワンルーム,13.07m
98,東急東横線 学芸大学駅 5階建 築35年,賃貸マンション,東京都目黒区柿の木坂２,東急東横線/学芸大学駅 歩10分,東急東横線/都立大学駅 歩16分,東急東横線/祐天寺駅 バス7分 (バス停)碑文谷呑川 歩3分,築35年,5階建,3階,5.2万円,6000円,-/-/-/-,ワンルーム,13.07m
99,朽方アパート,賃貸アパート,東京都目黒区碑文谷６,東急東横線/学芸大学駅 歩6分,東急東横線/都立大学駅 歩17分,東急田園都市線/駒沢大学駅 歩27分,築38年,2階建,2階,4.9万円,3000円,4.9万円/-/-/-,1K,19m
100,朽方アパート,賃貸アパート,東京都目黒区碑文谷６,東急東横線/学芸大学駅 歩6分,東急東横線/都立大学駅 歩17分,東急田園都市線/駒沢大学駅 歩27分,築38年,2階建,2階,5.5万円,3000円,5.5万円/-/-/-,1K,19m
101,東急東横線 学芸大学駅 2階建 築38年,賃貸アパート,東京都目黒区碑文谷６,東急東横線/学芸大学駅 歩6分,東急東横線/都立大学駅 歩15分,東急田園都市線/駒沢大学駅 歩26分,築38年,2階建,2階,4.9万円,3000円,4.9万円/-/-/-,1K,19m
