,建物名,レンタルタイプ,住所,立地1,立地2,立地3,築年数,建物高さ,階,賃料,管理費,"敷/礼/保証/敷引,償却",間取り,専有面積
89,都営大江戸線 勝どき駅 2階建 築43年,賃貸アパート,東京都中央区勝どき２,都営大江戸線/勝どき駅 歩4分,東京メトロ有楽町線/月島駅 歩10分,東京メトロ日比谷線/東銀座駅 歩19分,築43年,2階建,1階,7.5万円,-,7.5万円/7.5万円/-/-,2DK,30m
90,東京メトロ東西線 茅場町駅 地下1地上12階建 築36年,賃貸マンション,東京都中央区日本橋蛎殻町１,東京メトロ東西線/茅場町駅 歩5分,東京メトロ半蔵門線/水天宮前駅 歩2分,東京メトロ日比谷線/人形町駅 歩5分,築36年,地下1地上12階建,11階,6.8万円,7000円,6.8万円/6.8万円/-/-,1K,22.71m
91,東京メトロ東西線 茅場町駅 地下1地上12階建 築36年,賃貸マンション,東京都中央区日本橋蛎殻町１,東京メトロ東西線/茅場町駅 歩5分,東京メトロ半蔵門線/水天宮前駅 歩2分,東京メトロ日比谷線/人形町駅 歩5分,築36年,地下1地上12階建,8階,9.1万円,10500円,-/9.1万円/-/-,1K,26.8m
92,ライオンズマンション日本橋,賃貸マンション,東京都中央区日本橋蛎殻町１,東京メトロ半蔵門線/水天宮前駅 歩2分,都営浅草線/人形町駅 歩4分,None,築36年,12階建,9階,6.8万円,7000円,6.8万円/6.8万円/-/-,1K,22.71m
93,ライオンズマンション日本橋,賃貸マンション,東京都中央区日本橋蛎殻町１,東京メトロ半蔵門線/水天宮前駅 歩2分,都営浅草線/人形町駅 歩4分,None,築36年,12階建,10階,8万円,7000円,8万円/8万円/-/-,1K,26.8m
94,恒陽サンクレスト茅場町,賃貸マンション,東京都中央区新川１,東京メトロ日比谷線/茅場町駅 歩6分,東京メトロ半蔵門線/水天宮前駅 歩10分,東京メトロ東西線/茅場町駅 歩6分,築32年,10階建,2階,7.5万円,-,15万円/-/-/-,ワンルーム,25.71m
95,東京メトロ日比谷線 茅場町駅 10階建 築32年,賃貸マンション,東京都中央区新川１,東京メトロ日比谷線/茅場町駅 歩6分,東京メトロ半蔵門線/水天宮前駅 歩10分,None,築32年,10階建,2階,7.5万円,-,15万円/-/-/-,ワンルーム,25.71m
96,スターコート日本橋,賃貸マンション,東京都中央区日本橋小網町,東京メトロ東西線/茅場町駅 歩3分,東京メトロ日比谷線/人形町駅 歩12分,東京メトロ半蔵門線/水天宮前駅 歩4分,築36年,9階建,4階,6.9万円,6000円,6.9万円/6.9万円/-/-,ワンルーム,22.09m
97,スターコート日本橋,賃貸マンション,東京都中央区日本橋小網町,東京メトロ東西線/茅場町駅 歩3分,東京メトロ日比谷線/人形町駅 歩12分,東京メトロ半蔵門線/水天宮前駅 歩4分,築36年,9階建,4階,6.9万円,8000円,6.9万円/-/-/-,ワンルーム,22.09m
98,ライオンズマンション築地,賃貸マンション,東京都中央区築地４,東京メトロ日比谷線/築地駅 歩5分,都営大江戸線/築地市場駅 歩8分,都営浅草線/東銀座駅 歩11分,築36年,7階建,4階,7.5万円,-,7.5万円/7.5万円/-/-,ワンルーム,19.76m
99,東京メトロ東西線 茅場町駅 4階建 築29年,賃貸マンション,東京都中央区日本橋茅場町３,東京メトロ東西線/茅場町駅 歩3分,東京メトロ日比谷線/八丁堀駅 歩4分,東京メトロ銀座線/日本橋駅 歩9分,築29年,4階建,2階,7.2万円,3000円,7.2万円/7.2万円/-/-,ワンルーム,18.8m
100,ＪＲ山手線 新橋駅 10階建 築39年,賃貸マンション,東京都中央区築地５,ＪＲ山手線/新橋駅 歩11分,都営大江戸線/汐留駅 歩7分,東京メトロ日比谷線/東銀座駅 歩12分,築39年,10階建,8階,7万円,5000円,7万円/7万円/-/-,ワンルーム,18.31m
101,ストークマンション新川,賃貸マンション,東京都中央区新川１,東京メトロ日比谷線/茅場町駅 歩3分,東京メトロ東西線/茅場町駅 歩3分,東京メトロ半蔵門線/水天宮前駅 歩9分,築44年,11階建,8階,6.5万円,10000円,6.5万円/-/-/-,ワンルーム,17.48m
102,東京メトロ日比谷線 茅場町駅 11階建 築44年,賃貸マンション,東京都中央区新川１,東京メトロ日比谷線/茅場町駅 歩8分,ＪＲ京葉線/八丁堀駅 歩7分,東京メトロ半蔵門線/水天宮前駅 歩8分,築44年,11階建,4階,7.5万円,-,7.5万円/-/-/-,1K,17.21m
103,ライオンズマンション東銀座,賃貸マンション,東京都中央区築地４,東京メトロ日比谷線/築地駅 歩3分,東京メトロ日比谷線/東銀座駅 歩6分,ＪＲ山手線/新橋駅 歩17分,築32年,12階建,12階,7.5万円,-,7.5万円/7.5万円/-/-,ワンルーム,15.6m
104,東京メトロ日比谷線 築地駅 12階建 築32年,賃貸マンション,東京都中央区築地４,東京メトロ日比谷線/築地駅 歩3分,東京メトロ有楽町線/新富町駅 歩7分,東京メトロ日比谷線/東銀座駅 歩6分,築32年,12階建,12階,7.5万円,-,7.5万円/7.5万円/-/-,ワンルーム,15.6m
105,銀座ダイヤハイツ,賃貸マンション,東京都中央区銀座８,ＪＲ山手線/新橋駅 歩7分,東京メトロ銀座線/銀座駅 歩10分,都営大江戸線/汐留駅 歩4分,築37年,11階建,7階,7.6万円,-,7.6万円/7.6万円/-/-,ワンルーム,14.26m
106,銀座ダイヤハイツ,賃貸マンション,東京都中央区銀座８,ＪＲ山手線/新橋駅 歩7分,東京メトロ銀座線/銀座駅 歩10分,都営大江戸線/汐留駅 歩4分,築37年,11階建,2階,10.85万円,-,10.85万円/10.85万円/-/-,ワンルーム,28.86m
107,ロマロ銀座新富,賃貸マンション,東京都中央区新富２,東京メトロ有楽町線/新富町駅 歩2分,東京メトロ日比谷線/築地駅 歩7分,ＪＲ京葉線/八丁堀駅 歩8分,築15年,5階建,5階,7.3万円,3000円,7.3万円/7.3万円/-/-,ワンルーム,16.39m
108,東京メトロ有楽町線 新富町駅 5階建 築15年,賃貸マンション,東京都中央区新富２,東京メトロ有楽町線/新富町駅 歩2分,東京メトロ日比谷線/築地駅 歩6分,東京メトロ日比谷線/八丁堀駅 歩6分,築15年,5階建,5階,7.3万円,3000円,7.3万円/7.3万円/-/-,ワンルーム,16.39m
109,ＪＲ山手線 新橋駅 11階建 築37年,賃貸マンション,東京都中央区銀座８,ＪＲ山手線/新橋駅 歩7分,東京メトロ銀座線/銀座駅 歩10分,都営大江戸線/汐留駅 歩4分,築37年,11階建,7階,7.6万円,-,7.6万円/7.6万円/-/-,ワンルーム,14.26m
110,東京メトロ半蔵門線 水天宮前駅 地下1地上8階建 築30年,賃貸マンション,東京都中央区日本橋中洲,東京メトロ半蔵門線/水天宮前駅 歩6分,都営新宿線/浜町駅 歩8分,東京メトロ日比谷線/人形町駅 歩10分,築30年,地下1地上8階建,6階,7万円,7000円,7万円/7万円/-/-,ワンルーム,23.85m
111,東京メトロ半蔵門線 水天宮前駅 地下1地上8階建 築30年,賃貸マンション,東京都中央区日本橋中洲,東京メトロ半蔵門線/水天宮前駅 歩6分,都営新宿線/浜町駅 歩8分,東京メトロ日比谷線/人形町駅 歩10分,築30年,地下1地上8階建,4階,7.5万円,7500円,7.5万円/7.5万円/-/-,ワンルーム,25.14m
